"Date","Price","Open","High","Low","Vol.","Change %"
"08/30/2021","1,732.78","1,730.38","1,733.33","1,729.78","","0.35%"
"08/27/2021","1,726.81","1,722.23","1,730.31","1,720.99","","0.28%"
"08/26/2021","1,721.95","1,725.77","1,725.85","1,721.75","","-0.10%"
"08/25/2021","1,723.69","1,724.54","1,725.27","1,722.43","","0.02%"
"08/24/2021","1,723.27","1,718.77","1,724.45","1,717.80","","0.40%"
"08/23/2021","1,716.36","1,713.02","1,718.94","1,712.91","","0.31%"
"08/20/2021","1,711.14","1,712.83","1,714.53","1,708.54","","-0.17%"
"08/19/2021","1,714.10","1,718.99","1,719.00","1,711.72","","-0.45%"
"08/18/2021","1,721.85","1,718.61","1,722.78","1,718.19","","0.07%"
"08/17/2021","1,720.57","1,724.78","1,724.90","1,718.12","","-0.23%"
"08/16/2021","1,724.53","1,725.83","1,725.96","1,723.26","","0.06%"
"08/13/2021","1,723.57","1,724.31","1,726.20","1,721.94","","-0.09%"
"08/12/2021","1,725.18","1,727.78","1,727.86","1,723.33","","0.00%"
"08/11/2021","1,725.13","1,724.97","1,728.20","1,723.16","","-0.03%"
"08/10/2021","1,725.65","1,725.80","1,726.64","1,723.15","","-0.05%"
"08/09/2021","1,726.52","1,727.60","1,729.17","1,724.44","","-0.18%"
"08/06/2021","1,729.72","1,732.69","1,732.93","1,726.16","","-0.30%"
"08/05/2021","1,734.86","1,733.71","1,735.88","1,731.99","","0.12%"
"08/04/2021","1,732.80","1,731.41","1,736.80","1,730.80","","0.17%"
"08/03/2021","1,729.84","1,730.26","1,732.48","1,728.33","","-0.12%"
"08/02/2021","1,731.96","1,728.49","1,732.15","1,726.81","","0.12%"
"07/30/2021","1,729.86","1,733.83","1,733.91","1,727.64","","-0.14%"
"07/29/2021","1,732.32","1,726.17","1,734.56","1,725.57","","0.61%"
"07/28/2021","1,721.82","1,720.07","1,725.80","1,719.52","","0.00%"
"07/27/2021","1,721.84","1,723.64","1,725.22","1,718.36","","-0.04%"
"07/26/2021","1,722.54","1,723.01","1,723.80","1,719.79","","-0.10%"
"07/23/2021","1,724.35","1,724.73","1,725.68","1,721.81","","-0.06%"
"07/22/2021","1,725.40","1,725.79","1,727.03","1,723.51","","0.21%"
"07/21/2021","1,721.73","1,722.66","1,725.68","1,720.55","","0.02%"
"07/20/2021","1,721.44","1,719.42","1,723.09","1,718.66","","-0.06%"
"07/19/2021","1,722.40","1,727.85","1,727.85","1,718.48","","-0.45%"
"07/16/2021","1,730.11","1,729.67","1,730.11","1,726.89","","-0.01%"
"07/15/2021","1,730.25","1,729.06","1,731.92","1,727.72","","0.18%"
"07/14/2021","1,727.22","1,723.63","1,729.52","1,722.78","","0.02%"
"07/13/2021","1,726.96","1,727.13","1,728.37","1,722.73","","0.09%"
"07/12/2021","1,725.43","1,725.64","1,726.22","1,722.17","","0.15%"
"07/09/2021","1,722.84","1,721.85","1,725.28","1,720.58","","0.03%"
"07/08/2021","1,722.29","1,726.30","1,726.73","1,719.22","","-0.26%"
"07/07/2021","1,726.74","1,727.36","1,729.61","1,723.55","","-0.25%"
"07/06/2021","1,730.99","1,734.14","1,736.39","1,725.98","","-0.25%"
"07/05/2021","1,735.32","1,733.81","1,736.42","1,733.28","","0.28%"
"07/02/2021","1,730.50","1,732.63","1,734.40","1,727.80","","-0.21%"
"07/01/2021","1,734.08","1,737.82","1,738.01","1,731.22","","-0.21%"
"06/30/2021","1,737.75","1,737.20","1,740.10","1,735.88","","-0.07%"
"06/29/2021","1,738.91","1,740.42","1,740.59","1,735.54","","-0.07%"
"06/28/2021","1,740.16","1,740.54","1,741.01","1,737.56","","-0.06%"
"06/25/2021","1,741.22","1,737.90","1,743.17","1,736.72","","0.32%"
"06/24/2021","1,735.64","1,734.29","1,738.22","1,731.79","","0.15%"
"06/23/2021","1,733.06","1,733.59","1,736.07","1,730.73","","0.06%"
"06/22/2021","1,732.07","1,734.36","1,735.60","1,729.29","","-0.05%"
"06/21/2021","1,732.91","1,734.43","1,734.91","1,729.43","","-0.29%"
"06/18/2021","1,737.91","1,739.11","1,741.80","1,734.34","","-0.22%"
"06/17/2021","1,741.69","1,745.19","1,747.30","1,736.79","","-0.68%"
"06/16/2021","1,753.55","1,752.61","1,754.63","1,744.67","","0.10%"
"06/15/2021","1,751.77","1,752.92","1,754.70","1,749.58","","-0.16%"
"06/14/2021","1,754.56","1,752.66","1,754.56","1,750.59","","-0.06%"
"06/11/2021","1,755.59","1,756.35","1,758.95","1,751.14","","0.01%"
"06/10/2021","1,755.39","1,753.62","1,756.81","1,753.62","","0.03%"
"06/09/2021","1,754.86","1,755.13","1,757.72","1,753.67","","-0.03%"
"06/08/2021","1,755.39","1,756.40","1,757.06","1,753.47","","0.00%"
"06/07/2021","1,755.32","1,757.09","1,757.52","1,754.23","","0.18%"
"06/04/2021","1,752.24","1,751.31","1,756.38","1,748.91","","-0.06%"
"06/03/2021","1,753.33","1,755.00","1,757.22","1,750.21","","0.01%"
"06/02/2021","1,753.14","1,754.31","1,756.32","1,749.18","","-0.10%"
"06/01/2021","1,754.97","1,755.62","1,757.04","1,752.06","","0.01%"
"05/31/2021","1,754.75","1,752.69","1,757.19","1,751.82","","0.15%"
"05/28/2021","1,752.17","1,747.91","1,752.92","1,747.54","","0.17%"
"05/27/2021","1,749.15","1,746.09","1,749.54","1,744.42","","0.19%"
"05/26/2021","1,745.77","1,741.58","1,746.74","1,741.19","","0.20%"
"05/25/2021","1,742.26","1,738.72","1,743.16","1,738.42","","0.27%"
"05/24/2021","1,737.64","1,735.45","1,739.56","1,734.92","","0.03%"
"05/21/2021","1,737.05","1,736.05","1,739.07","1,735.03","","0.15%"
"05/20/2021","1,734.50","1,733.95","1,736.52","1,731.92","","0.00%"
"05/19/2021","1,734.58","1,736.89","1,739.50","1,732.57","","-0.15%"
"05/18/2021","1,737.24","1,731.50","1,738.67","1,731.03","","0.28%"
"05/17/2021","1,732.40","1,734.15","1,734.35","1,728.45","","-0.09%"
"05/14/2021","1,733.93","1,731.39","1,735.86","1,730.52","","0.17%"
"05/13/2021","1,730.97","1,728.10","1,731.89","1,727.32","","-0.19%"
"05/12/2021","1,734.20","1,737.75","1,737.83","1,727.81","","-0.21%"
"05/11/2021","1,737.77","1,740.83","1,740.99","1,735.79","","-0.21%"
"05/10/2021","1,741.49","1,740.28","1,743.68","1,738.86","","0.39%"
"05/07/2021","1,734.67","1,730.08","1,741.34","1,729.51","","0.42%"
"05/06/2021","1,727.48","1,724.58","1,730.29","1,723.10","","0.16%"
"05/05/2021","1,724.71","1,723.16","1,724.71","1,721.02","","0.09%"
"05/04/2021","1,723.17","1,724.61","1,724.72","1,720.49","","-0.05%"
"05/03/2021","1,724.08","1,724.42","1,725.23","1,721.20","","-0.06%"
"04/30/2021","1,725.10","1,729.16","1,729.91","1,722.92","","-0.23%"
"04/29/2021","1,729.07","1,727.94","1,731.69","1,726.85","","0.27%"
"04/28/2021","1,724.41","1,722.86","1,727.69","1,721.96","","0.04%"
"04/27/2021","1,723.66","1,724.40","1,725.62","1,722.29","","0.05%"
"04/26/2021","1,722.75","1,719.30","1,724.48","1,718.67","","0.31%"
"04/23/2021","1,717.49","1,717.11","1,720.16","1,716.13","","-0.01%"
"04/22/2021","1,717.60","1,715.17","1,718.28","1,714.87","","0.13%"
"04/21/2021","1,715.40","1,714.45","1,715.40","1,712.74","","-0.12%"
"04/20/2021","1,717.43","1,715.36","1,720.21","1,713.28","","0.19%"
"04/19/2021","1,714.17","1,711.42","1,715.44","1,710.12","","0.16%"
"04/16/2021","1,711.49","1,711.00","1,713.07","1,707.71","","0.17%"
"04/15/2021","1,708.63","1,707.30","1,710.95","1,702.62","","0.16%"
"04/14/2021","1,705.98","1,702.25","1,706.71","1,701.60","","0.36%"
"04/13/2021","1,699.81","1,699.92","1,702.20","1,697.21","","-0.02%"
"04/12/2021","1,700.20","1,700.16","1,701.54","1,697.69","","-0.04%"
"04/09/2021","1,700.85","1,704.80","1,705.57","1,700.00","","-0.23%"
"04/08/2021","1,704.73","1,704.57","1,705.17","1,701.67","","-0.05%"
"04/07/2021","1,705.51","1,706.63","1,708.41","1,703.01","","0.05%"
"04/06/2021","1,704.70","1,702.24","1,706.48","1,701.32","","0.24%"
"04/05/2021","1,700.68","1,698.62","1,702.56","1,697.78","","0.11%"
"04/02/2021","1,698.73","1,699.26","1,700.68","1,698.02","","0.01%"
"04/01/2021","1,698.61","1,702.15","1,702.35","1,696.10","","-0.09%"
"03/31/2021","1,700.17","1,694.98","1,702.23","1,694.24","","0.30%"
"03/30/2021","1,695.05","1,696.55","1,697.07","1,692.71","","-0.11%"
"03/29/2021","1,696.95","1,700.01","1,700.18","1,693.98","","-0.21%"
"03/26/2021","1,700.56","1,699.67","1,702.14","1,698.40","","0.03%"
"03/25/2021","1,699.99","1,702.69","1,702.87","1,697.06","","-0.23%"
"03/24/2021","1,703.88","1,705.72","1,706.69","1,701.75","","-0.31%"
"03/23/2021","1,709.20","1,712.42","1,712.64","1,705.34","","-0.05%"
"03/22/2021","1,710.00","1,710.71","1,712.05","1,709.40","","-0.08%"
"03/19/2021","1,711.41","1,710.17","1,712.42","1,707.12","","-0.11%"
"03/18/2021","1,713.21","1,714.72","1,716.07","1,708.77","","0.25%"
"03/17/2021","1,709.01","1,711.23","1,714.56","1,707.82","","-0.18%"
"03/16/2021","1,712.02","1,711.23","1,712.99","1,709.65","","0.16%"
"03/15/2021","1,709.25","1,709.72","1,712.28","1,707.56","","-0.03%"
"03/12/2021","1,709.83","1,714.62","1,716.16","1,706.86","","-0.04%"
"03/11/2021","1,710.55","1,706.30","1,714.19","1,704.66","","0.52%"
"03/10/2021","1,701.67","1,702.26","1,706.20","1,697.90","","0.19%"
"03/09/2021","1,698.40","1,696.34","1,703.11","1,693.02","","-0.13%"
"03/08/2021","1,700.67","1,706.69","1,708.46","1,694.36","","-0.57%"
"03/05/2021","1,710.39","1,710.86","1,713.00","1,705.67","","-0.41%"
"03/04/2021","1,717.40","1,716.46","1,718.08","1,711.52","","-0.02%"
"03/03/2021","1,717.78","1,715.88","1,720.51","1,714.19","","0.18%"
"03/02/2021","1,714.72","1,717.41","1,717.81","1,712.85","","-0.17%"
"03/01/2021","1,717.61","1,713.44","1,719.00","1,713.13","","0.10%"
"02/26/2021","1,715.92","1,719.93","1,720.15","1,711.45","","-0.59%"
"02/25/2021","1,726.16","1,729.85","1,730.89","1,718.79","","-0.09%"
"02/24/2021","1,727.69","1,726.53","1,731.31","1,726.10","","0.05%"
"02/23/2021","1,726.86","1,724.83","1,726.86","1,722.72","","0.22%"
"02/22/2021","1,723.10","1,727.83","1,728.51","1,720.78","","-0.25%"
"02/19/2021","1,727.40","1,724.64","1,729.44","1,723.65","","0.18%"
"02/18/2021","1,724.32","1,726.82","1,728.73","1,722.01","","-0.19%"
"02/17/2021","1,727.68","1,727.45","1,727.68","1,724.51","","-0.21%"
"02/16/2021","1,731.39","1,730.38","1,732.12","1,726.28","","-0.07%"
"02/15/2021","1,732.65","1,728.60","1,732.65","1,728.42","","0.18%"
"02/12/2021","1,729.57","1,728.14","1,729.57","1,725.64","","0.02%"
"02/11/2021","1,729.14","1,725.67","1,729.14","1,725.30","","0.07%"
"02/10/2021","1,727.99","1,727.03","1,729.67","1,725.27","","0.25%"
"02/09/2021","1,723.60","1,723.52","1,727.10","1,722.47","","0.09%"
"02/08/2021","1,722.11","1,720.30","1,723.51","1,719.26","","0.24%"
"02/05/2021","1,718.03","1,716.86","1,720.96","1,713.21","","0.05%"
